id;login_type;email_otp;phone_otp;email_otp_expiry_date;phone_otp_expiry_date;location_ip;location_details;latlog;browser;device;login_date_time;login_token;created_date;updated_date
1;EMAIL;Product Sports Borders;Wooden schemas;2022-04-29;2022-04-29;synthesize Cambridgeshire;Program;Borders Games;calculate Computers Producer;Islands Chips e-commerce;2022-04-29T08:38:43;moderator optical;2022-04-28T23:52:40;2022-04-28T17:41:07
2;EMAIL;online payment;PCI hybrid;2022-04-29;2022-04-29;global invoice;Table aggregate Investment;Franc seamless;Granite deposit facilitate;Rubber withdrawal initiatives;2022-04-28T19:01:55;Egyptian SMS;2022-04-29T08:56:10;2022-04-29T14:43:48
3;EMAIL;deposit Licensed;Islands e-business;2022-04-29;2022-04-29;Mississippi;CSS teal EXE;alliance;Cotton International Small;open-source;2022-04-29T10:49:24;Personal;2022-04-28T16:48:23;2022-04-29T01:49:10
4;EMAIL;invoice;Music Analyst Bacon;2022-04-29;2022-04-29;Baby;attitude;Markets Prairie;blue integrated;Frozen tangible customized;2022-04-28T21:03:41;Beauty;2022-04-28T21:08:33;2022-04-29T13:48:24
5;EMAIL;Refined Bypass;Ngultrum Shilling Cambridgeshire;2022-04-29;2022-04-28;e-tailers Pizza Sports;Incredible Shore;Mexican Consultant Dollar;monitor;Cambridgeshire;2022-04-29T10:43:47;Fish;2022-04-28T22:36:21;2022-04-29T02:22:29
6;EMAIL;invoice haptic;content-based;2022-04-29;2022-04-28;Vanuatu fault-tolerant;extend;Re-engineered invoice;synthesizing;optimal hacking Wooden;2022-04-29T04:16:39;Avon;2022-04-28T15:14:03;2022-04-28T20:30:06
7;EMAIL;Incredible Re-engineered;deliver user-facing;2022-04-28;2022-04-28;violet payment relationships;structure Guyana Games;monitor Account Kina;Account Texas;Corporate cross-platform;2022-04-29T03:49:14;Automotive;2022-04-29T09:49:09;2022-04-28T22:50:32
8;EMAIL;ubiquitous Movies;definition payment sky;2022-04-29;2022-04-28;users;incremental PCI;Director Lock;exploit;salmon;2022-04-29T08:13:25;Garden;2022-04-29T06:18:20;2022-04-28T19:18:45
9;PHONE;Towels;composite Clothing Account;2022-04-28;2022-04-29;Beauty SCSI Lead;Movies 1080p;target;Sausages transparent;Object-based;2022-04-28T20:25:10;Gorgeous Refined;2022-04-29T04:16:24;2022-04-29T01:46:28
10;PHONE;Tactics;networks Rubber Utah;2022-04-29;2022-04-28;Regional;connecting;Licensed intangible;bluetooth;open-source Account services;2022-04-28T19:24:39;Account Argentina Norway;2022-04-28T16:50:31;2022-04-29T12:52:02
